Model,Optimizer,Best Acc,Final Acc,Best F1,Final Loss,Time (min),Avg Ep (s),Ep -> 80%
ResNet-18,AdamW,0.9588,0.9573,0.9588,0.6231,48.1,144.2,1
ResNet-18,Lion,0.9630,0.9630,0.9629,0.5984,47.2,141.6,1
ResNet-18,SGD+Momentum,0.0923,0.0923,0.0557,2.5044,24.1,72.2,>20
ResNet-18,AdaBelief,0.8645,0.8636,0.8644,0.8783,23.3,70.0,7
ResNet-18,RMSProp,0.2780,0.2773,0.1721,2.0830,22.2,66.5,>20
DeiT-Tiny,AdamW,0.9640,0.9610,0.9641,0.6250,23.8,71.3,1
DeiT-Tiny,Lion,0.9637,0.9624,0.9637,0.6344,23.5,70.5,1
DeiT-Tiny,SGD+Momentum,0.0768,0.0746,0.0775,2.4240,22.7,68.2,>20
DeiT-Tiny,AdaBelief,0.9568,0.9568,0.9568,0.6069,59.1,177.3,1
DeiT-Tiny,RMSProp,0.1116,0.1000,0.0352,2.3026,47.2,141.6,>20
